trial,tau,detected,c_at_detection,rdiv_at_detection,gamma_at_detection,best_corr_at_detection
1,0.7959,True,2.7648,3.1890,0.6360,-0.9237
2,0.8010,True,2.5135,2.8355,0.4817,-0.9316
3,0.7636,True,2.4506,2.8163,0.4665,-0.8904
4,0.7517,True,2.7020,2.9105,0.4157,-0.9073
5,0.8010,True,2.5135,3.2741,0.6519,-0.9038
6,0.7585,True,2.8277,3.0024,0.5122,-0.9192
7,0.7228,True,2.5763,2.8762,0.4412,-0.8773
8,0.7483,True,2.7020,3.2730,0.6532,-0.9122
9,0.8350,True,2.8905,3.0786,0.5091,-0.9466
10,0.7908,True,2.7648,3.1858,0.5961,-0.9213
11,0.7772,True,2.6391,2.7448,0.3639,-0.8978
12,0.7381,True,2.3878,2.5458,0.3397,-0.8641
13,0.6871,True,2.3878,2.4494,0.2627,-0.8339
14,0.7160,True,2.7020,2.8890,0.4319,-0.8779
15,0.8044,True,2.8277,2.9420,0.4455,-0.9390
16,0.7602,True,2.5135,2.9389,0.4952,-0.8731
17,0.7755,True,2.8277,2.8935,0.4065,-0.9242
18,0.7364,True,2.5763,3.1585,0.6583,-0.8825
19,0.7466,True,2.6391,3.0921,0.5685,-0.9095
20,0.7721,True,2.7020,3.2533,0.6549,-0.8940
21,0.7704,True,2.8905,3.0112,0.5072,-0.9251
22,0.8078,True,2.3878,2.8388,0.4307,-0.9122
23,0.8554,True,2.5135,2.9587,0.5566,-0.9406
24,0.7500,True,2.7020,2.7703,0.3983,-0.9286
25,0.8044,True,2.6391,3.0852,0.5438,-0.9244
26,0.7738,True,2.4506,2.7690,0.4586,-0.9083
27,0.7602,True,2.7648,3.1146,0.5913,-0.9261
28,0.8384,True,2.6391,3.3268,0.6849,-0.9382
29,0.8010,True,2.5763,3.0370,0.5138,-0.9041
30,0.7976,True,2.7020,3.3750,0.7720,-0.9160
31,0.8299,True,2.4506,2.9363,0.5672,-0.9277
32,0.7415,True,2.8905,3.0420,0.4774,-0.9239
33,0.7874,True,2.8277,3.7989,0.9804,-0.9199
34,0.8095,True,2.5763,2.8253,0.4588,-0.9248
35,0.7211,True,2.4506,2.5951,0.3189,-0.8583
36,0.7194,True,2.6391,2.7293,0.3432,-0.9024
37,0.7721,True,2.5763,2.8136,0.4841,-0.9194
38,0.7993,True,2.5135,2.7805,0.4244,-0.9184
39,0.8061,True,2.7648,3.6204,0.8525,-0.9294
40,0.8350,True,2.6391,3.1578,0.6880,-0.9420
41,0.7687,True,2.5135,2.6266,0.3275,-0.8897
42,0.7772,True,2.5763,2.9405,0.5263,-0.8978
43,0.8129,True,2.7648,3.2960,0.6883,-0.9324
44,0.8027,True,2.8277,3.3189,0.6729,-0.9386
45,0.8095,True,2.7648,3.5302,0.7914,-0.9320
46,0.7721,True,2.5135,2.7700,0.3830,-0.8805
47,0.7670,True,2.8277,3.3348,0.6541,-0.9123
48,0.8112,True,2.5135,2.9604,0.6534,-0.9249
49,0.8333,True,2.4506,3.0526,0.6141,-0.9206
50,0.7806,True,2.7020,3.2086,0.6216,-0.9189
51,0.7670,True,2.8277,3.0302,0.5377,-0.9230
52,0.7857,True,2.8277,3.3429,0.7174,-0.9235
53,0.7653,True,2.3878,2.6595,0.3966,-0.8750
54,0.8010,True,2.7020,3.5983,0.7820,-0.9303
55,0.7534,True,2.8905,2.9571,0.4774,-0.9264
56,0.7942,True,2.1993,2.2456,0.2304,-0.9029
57,0.7177,True,2.8277,3.2020,0.6562,-0.8915
58,0.7279,True,2.7648,2.9236,0.4276,-0.9029
59,0.7755,True,2.8277,3.3917,0.6858,-0.9265
60,0.8078,True,2.6391,3.2809,0.7363,-0.9204
61,0.8231,True,2.4506,2.7307,0.3592,-0.9109
62,0.7143,True,2.3250,2.5938,0.4040,-0.8560
63,0.7806,True,2.7020,2.8479,0.4464,-0.9250
64,0.7398,True,2.8277,3.0578,0.5028,-0.9249
65,0.7551,True,2.8905,2.9929,0.5040,-0.9369
66,0.8095,True,2.5763,3.2399,0.7344,-0.9307
67,0.7585,True,2.6391,2.9294,0.4245,-0.9024
68,0.7449,True,2.6391,2.7214,0.3463,-0.9155
69,0.7925,True,2.7648,3.1110,0.5897,-0.9320
70,0.7228,True,2.5763,2.7505,0.3628,-0.8590
71,0.7534,True,2.1993,2.2522,0.2704,-0.8750
72,0.7959,True,2.7648,3.2151,0.7137,-0.9380
73,0.7398,True,2.7648,2.9332,0.4147,-0.9005
74,0.8282,True,2.7020,3.1982,0.6750,-0.9427
75,0.7942,True,2.7020,2.7813,0.3966,-0.9360
76,0.7704,True,2.8277,2.9750,0.4871,-0.9300
77,0.7908,True,2.3250,2.5391,0.3514,-0.8690
78,0.7959,True,2.8277,2.9740,0.4826,-0.9361
79,0.7704,True,2.8277,3.1894,0.5907,-0.9398
80,0.7653,True,2.2621,2.4046,0.3450,-0.8658
81,0.7976,True,2.7020,3.0689,0.5940,-0.9256
82,0.8350,True,2.5763,3.1952,0.6361,-0.9394
83,0.8044,True,2.7648,2.9645,0.5420,-0.9324
84,0.7687,True,2.5763,2.7224,0.3716,-0.8918
85,0.7925,True,2.9533,3.2988,0.7493,-0.9501
86,0.7704,True,2.7648,3.1638,0.5970,-0.9107
87,0.7891,True,2.6391,2.8766,0.4739,-0.9351
88,0.7908,True,2.7020,3.5707,0.8096,-0.9220
89,0.7908,True,2.7020,3.6133,0.8033,-0.9179
