trial,tau,detected,c_at_detection,rdiv_at_detection,gamma_at_detection,best_corr_at_detection
1,0.7199,True,2.8905,3.0266,0.4132,-0.9067
2,0.7109,False,NaN,NaN,NaN,NaN
3,0.7535,True,2.5135,2.6729,0.3320,-0.8807
4,0.7943,True,2.5135,2.9197,0.5228,-0.8987
5,0.7568,True,2.6391,3.3347,0.7177,-0.9062
6,0.7355,True,3.0162,3.1237,0.4808,-0.9158
7,0.7110,True,2.4506,2.6050,0.3309,-0.8407
8,0.6738,True,2.8277,2.8385,0.3311,-0.9245
9,0.7890,False,NaN,NaN,NaN,NaN
10,0.7861,True,2.7648,3.2774,0.7373,-0.9207
11,0.7322,True,2.8277,2.8728,0.3531,-0.9109
12,0.7619,True,2.2621,2.3749,0.3753,-0.8738
13,0.7713,True,2.6391,2.8470,0.4670,-0.9191
14,0.8269,True,2.6391,3.7182,0.9368,-0.9305
15,0.7823,True,2.8277,2.9105,0.4845,-0.9236
16,0.6820,True,2.6391,2.6960,0.3306,-0.8947
17,0.7976,True,2.1993,2.3644,0.4159,-0.9074
18,0.7371,True,2.0736,2.1108,0.1891,-0.8187
19,0.7355,True,2.5135,2.7429,0.3608,-0.8318
20,0.7521,True,2.7648,2.7954,0.3920,-0.9464
21,0.7698,True,2.5135,2.7828,0.4328,-0.8994
22,0.7874,True,2.1993,2.3882,0.3937,-0.8999
23,0.7878,True,2.8277,2.9571,0.4363,-0.9389
24,0.7925,True,2.8905,3.5886,0.8308,-0.9301
25,0.7553,True,2.4506,2.6313,0.4157,-0.8916
26,0.7616,True,2.8277,3.0509,0.5709,-0.9212
27,0.7943,True,2.1993,2.5311,0.4622,-0.8860
28,0.6392,False,NaN,NaN,NaN,NaN
29,0.7840,True,2.7020,3.1174,0.4839,-0.9156
30,0.6401,True,2.6391,2.7388,0.2612,-0.7931
31,0.7910,True,2.8277,3.8482,1.0039,-0.9323
32,0.7224,True,2.8277,3.1410,0.5578,-0.9160
33,0.7874,True,2.3878,3.0414,0.7324,-0.8984
34,0.7772,True,2.3250,2.7860,0.4926,-0.8821
35,0.7388,True,2.7020,3.0522,0.4249,-0.8812
36,0.7241,True,2.5763,2.7054,0.3331,-0.8668
37,0.7780,True,2.5763,3.0768,0.5770,-0.8707
38,0.7339,True,2.8277,3.1112,0.4666,-0.8840
39,0.7330,True,2.4506,2.5091,0.3491,-0.8949
40,0.7861,True,2.8277,3.4179,0.7370,-0.9374
41,0.7502,True,2.5763,2.9360,0.4862,-0.9062
42,0.7698,True,2.9533,3.1086,0.4242,-0.9309
43,0.8197,True,2.7648,3.4258,0.8008,-0.9513
44,0.7943,True,2.6391,2.7223,0.4039,-0.9343
45,0.7437,True,2.7648,2.9025,0.3811,-0.9045
46,0.7041,True,3.0162,3.0434,0.3598,-0.9205
47,0.6963,True,2.7020,2.7320,0.2697,-0.8909
48,0.8090,True,2.8277,3.2722,0.6243,-0.9355
49,0.7404,True,2.9533,2.9695,0.4323,-0.9171
50,0.7704,True,2.7020,3.0847,0.5592,-0.9143
51,0.7653,True,2.9533,3.0464,0.4577,-0.9445
52,0.7943,True,2.7020,2.9170,0.4212,-0.9260
53,0.7029,True,2.8905,3.6484,0.6586,-0.8823
54,0.8057,True,2.6391,3.8206,0.8446,-0.9273
55,0.7925,True,2.4506,2.6674,0.3980,-0.9144
56,0.7192,True,3.0162,3.4859,0.7180,-0.9247
57,0.7432,True,2.4506,2.5863,0.3209,-0.8698
58,0.6490,True,2.7648,2.9736,0.3376,-0.8439
59,0.7829,True,2.9533,2.9913,0.3589,-0.9339
60,0.7660,True,2.5763,3.0741,0.6223,-0.8896
61,0.7653,True,2.3250,2.4550,0.2968,-0.8967
62,0.7665,True,2.5763,2.9376,0.4881,-0.9024
63,0.7273,False,NaN,NaN,NaN,NaN
64,0.7714,True,2.5763,2.7468,0.3380,-0.9076
65,0.7211,True,2.0736,2.1763,0.2570,-0.7924
66,0.7322,False,NaN,NaN,NaN,NaN
67,0.7780,True,2.8277,3.7767,0.9093,-0.9102
68,0.7437,True,2.8905,2.9868,0.4209,-0.9145
69,0.7772,True,2.7648,3.2496,0.5623,-0.9177
70,0.7687,True,2.7020,3.0789,0.4968,-0.9131
71,0.7551,True,2.3878,2.5644,0.3248,-0.8517
72,0.7453,True,2.5763,2.8205,0.3875,-0.8707
73,0.7584,False,NaN,NaN,NaN,NaN
74,0.6684,True,2.4506,2.5544,0.2650,-0.8459
75,0.7194,True,2.7648,3.3108,0.6682,-0.8920
76,0.7992,False,NaN,NaN,NaN,NaN
77,0.8044,True,2.8905,2.9067,0.3669,-0.9460
78,0.7942,True,3.0162,3.0586,0.4628,-0.9411
