trial,tau,detected,c_at_detection,rdiv_at_detection,gamma_at_detection,best_corr_at_detection
1,0.8248,True,2.7648,4.5218,2.3759,-0.9497
2,0.8269,True,2.7648,3.8211,1.3861,-0.9269
3,0.8139,True,2.1993,2.3281,0.4624,-0.9038
4,0.8204,True,2.5763,2.9257,0.6920,-0.9359
5,0.8841,True,2.3878,10.8090,6.3627,-0.9607
6,0.8369,True,2.1364,2.7266,0.8708,-0.9265
7,0.8333,True,2.5135,6.8555,5.2483,-0.9449
8,0.8384,True,2.8277,3.5079,1.1217,-0.9467
9,0.7959,True,2.4506,3.1310,0.8691,-0.9187
10,0.7976,True,2.5135,2.7439,0.4835,-0.9109
11,0.8112,True,2.0736,2.2626,0.5733,-0.8920
12,0.7698,True,2.5763,2.7702,0.6036,-0.9162
13,0.8187,True,2.3878,2.7084,0.5440,-0.9214
14,0.8156,True,2.3878,2.8988,0.7987,-0.9051
15,0.8010,True,2.5763,2.9803,0.7229,-0.8942
16,0.8678,True,2.4506,2.5770,0.6637,-0.9488
17,0.8024,True,2.4506,2.5815,0.6040,-0.9312
18,0.8475,True,2.0108,2.6213,0.9171,-0.9375
19,0.8724,True,1.8223,1.9678,0.6720,-0.9460
20,0.8416,True,1.8851,2.0349,0.5165,-0.8928
21,0.8433,True,2.1993,2.6689,0.8188,-0.9269
22,0.8418,True,2.8277,28.7235,15.2170,-0.9556
23,0.8302,True,2.4506,3.0234,0.9250,-0.9248
24,0.8514,True,2.5135,2.8377,0.7999,-0.9470
25,0.8316,True,1.7594,1.9466,0.5069,-0.8986
26,0.8400,True,2.5763,3.0759,0.9201,-0.9276
27,0.8237,True,3.0790,3.1525,0.9249,-0.9466
28,0.8155,True,2.5135,2.8590,0.6399,-0.9043
29,0.8537,True,2.4506,4.1032,1.6077,-0.9481
30,0.8282,True,2.3250,2.8207,0.7878,-0.9132
31,0.8318,True,2.5135,3.0310,0.8727,-0.9306
32,0.8061,True,2.4506,2.6505,0.5933,-0.9321
33,0.8612,True,2.1993,2.3852,0.5847,-0.9417
34,0.8078,True,2.2621,2.4011,0.4122,-0.9070
35,0.8333,True,2.2621,2.7811,0.8289,-0.9041
36,0.8057,True,2.6391,3.3587,1.0661,-0.9204
37,0.8520,True,2.3878,5.6745,2.8444,-0.9315
38,0.8639,True,2.0736,2.6214,0.8256,-0.9267
39,0.8890,True,1.7594,1.9838,0.7008,-0.9350
40,0.8582,True,2.3250,3.4029,1.7141,-0.9374
41,0.8582,True,2.1993,2.3053,0.6878,-0.9304
42,0.8333,True,2.6391,2.9590,0.8625,-0.9429
43,0.8629,True,2.7020,4.6161,1.9054,-0.9564
44,0.8723,True,2.7020,3.2507,1.2352,-0.9595
45,0.8878,True,2.5763,28.3381,18.4755,-0.9624
46,0.8724,True,2.3250,2.8843,0.7919,-0.9361
47,0.7959,True,2.5135,2.6863,0.5377,-0.8768
48,0.8776,True,2.4506,2.6989,0.7946,-0.9422
49,0.8563,True,2.2621,4.0719,2.0931,-0.9464
50,0.8688,True,2.1993,2.7455,0.9372,-0.9380
51,0.8841,True,2.4506,11.0922,7.2994,-0.9627
52,0.7959,True,2.4506,3.0479,0.7196,-0.8903
53,0.8727,True,2.0736,2.9341,1.2262,-0.9476
54,0.8269,True,2.3250,2.7474,0.7123,-0.9244
55,0.8353,True,2.8277,4.8844,1.8355,-0.9547
56,0.8694,True,1.6966,1.9959,0.6463,-0.9240
57,0.8384,True,2.0736,2.5233,0.6995,-0.9009
58,0.8482,True,2.0736,2.6584,1.0418,-0.9058
59,0.8520,True,2.2621,3.0736,0.9272,-0.9324
60,0.8482,True,2.6391,3.0732,0.8323,-0.9422
61,0.8163,True,2.6391,3.0951,0.9737,-0.9308
62,0.8440,True,2.3250,2.7023,0.7609,-0.9431
63,0.8400,True,2.7020,4.6695,2.3847,-0.9417
64,0.8103,True,2.6391,3.0366,0.8125,-0.9317
65,0.8652,True,2.6391,2.7103,0.6453,-0.9509
66,0.8057,True,2.0736,2.2436,0.4376,-0.8688
67,0.8469,True,2.8905,2.9525,0.7291,-0.9453
68,0.8044,True,2.1993,2.3815,0.4404,-0.9073
69,0.7698,True,2.7020,2.9357,0.7691,-0.9073
70,0.8435,True,2.2621,2.4983,0.7133,-0.9342
71,0.8351,True,2.0736,2.3393,0.5269,-0.9164
72,0.8694,True,2.2621,4.0054,1.4467,-0.9317
73,0.8435,True,2.7020,4.9860,1.9034,-0.9519
74,0.8333,True,2.5135,3.6393,1.1204,-0.9196
75,0.8724,True,1.6966,1.9085,0.7134,-0.9186
76,0.8706,True,1.8223,2.3824,0.9234,-0.9436
77,0.8547,True,2.3878,2.9946,0.8947,-0.9142
78,0.8629,True,2.7020,2.9933,0.8190,-0.9416
79,0.8367,True,2.3250,2.6392,0.6173,-0.9161
80,0.8367,True,2.1993,2.4992,0.7529,-0.9279
81,0.8906,True,1.6966,1.8412,0.4616,-0.9361
82,0.8810,True,2.4506,6.4663,3.9406,-0.9542
83,0.8694,True,2.3250,3.8493,2.0069,-0.9482
84,0.7743,True,2.6391,2.9795,0.7496,-0.9262
85,0.8622,True,1.7594,1.9791,0.5615,-0.9269
86,0.8605,True,2.1364,2.2934,0.6768,-0.9371
87,0.8612,True,2.3250,3.0117,0.9329,-0.9319
88,0.8204,True,2.5135,2.8991,0.8190,-0.9083
89,0.8723,True,2.1364,2.8568,1.1501,-0.9403
90,0.8416,True,2.1993,2.3887,0.5807,-0.9270
91,0.7993,False,NaN,NaN,NaN,NaN
92,0.8387,True,1.9479,2.3568,0.9916,-0.9297
93,0.8449,True,2.7648,3.1033,0.8904,-0.9386
94,0.8318,True,2.1993,2.6627,0.8743,-0.9268
95,0.8563,True,2.5135,4.5599,1.9312,-0.9288
96,0.8286,True,2.5135,2.6588,0.5569,-0.9453
97,0.8204,True,2.0108,2.1166,0.5280,-0.9164
98,0.8269,True,2.6391,3.2491,1.1925,-0.9411
99,0.8351,True,2.2621,2.5612,0.6610,-0.9142
100,0.7890,True,2.5135,2.6560,0.5954,-0.9180
