trial,tau,detected,c_at_detection,rdiv_at_detection,gamma_at_detection,best_corr_at_detection
1,0.8279,True,0.7755,1.0729,1.4699,-0.9295
2,0.8067,True,0.8367,0.8705,0.6708,-0.9344
3,0.8085,True,0.8163,1.0213,1.0335,-0.9320
4,0.8427,True,0.7551,1.0430,1.0653,-0.9385
5,0.7632,True,0.8980,0.9491,0.7813,-0.9386
6,0.7946,True,0.8367,1.1826,1.3857,-0.9334
7,0.7928,True,0.7755,0.9777,0.8627,-0.9250
8,0.7872,True,0.9184,0.9236,0.5904,-0.9278
9,0.7874,True,0.8571,1.1315,1.3925,-0.9313
10,0.7650,True,0.7755,1.0464,1.0838,-0.9116
11,0.7983,True,0.7551,1.0080,1.4621,-0.9062
12,0.7336,True,0.9184,1.1567,1.4330,-0.9150
13,0.7961,True,0.7551,0.8989,0.7843,-0.9230
14,0.8298,True,0.7551,1.0027,1.0983,-0.9221
15,0.8121,True,0.8980,1.1919,1.5985,-0.9163
16,0.8032,False,NaN,NaN,NaN,NaN
17,0.7913,True,0.8980,1.0579,1.2013,-0.9398
18,0.7837,True,0.9388,1.2688,1.5203,-0.9288
19,0.8280,True,0.8367,1.1526,1.2129,-0.9324
20,0.7743,True,0.9184,1.0397,1.0194,-0.9331
21,0.7502,True,0.8980,1.0362,0.9973,-0.9282
22,0.8014,False,NaN,NaN,NaN,NaN
23,0.7890,True,0.8367,0.9121,0.6720,-0.9109
24,0.7837,True,0.8367,1.0537,1.1711,-0.9156
25,0.7743,True,0.9184,0.9582,0.8418,-0.9293
26,0.7571,True,0.8571,0.9164,0.6737,-0.9019
27,0.8150,True,0.9184,0.9707,0.8193,-0.9434
28,0.7660,True,0.7347,0.7927,0.6008,-0.9122
29,0.8085,True,0.8571,0.9139,0.7856,-0.9311
30,0.8044,True,0.6735,0.7548,0.5594,-0.9162
31,0.7837,True,0.7959,1.0419,1.1164,-0.9155
32,0.7908,True,0.8980,0.9471,0.7005,-0.9274
33,0.8224,True,0.8163,1.1068,1.1283,-0.9274
34,0.7576,True,0.8571,0.9309,0.7219,-0.9070
35,0.7909,True,0.7551,0.9359,0.8084,-0.9124
36,0.7743,True,0.9184,1.0023,1.1624,-0.9066
37,0.7913,True,0.7755,0.9654,0.8870,-0.9044
38,0.7943,True,0.8776,0.9967,0.8948,-0.9245
39,0.8121,True,0.8367,0.8986,0.6924,-0.9393
40,0.7376,True,0.7143,0.7557,0.5151,-0.8634
41,0.8129,True,0.6735,0.7848,0.6733,-0.9384
42,0.7347,True,0.8980,0.9632,0.8410,-0.9062
43,0.7743,True,0.8571,0.9940,0.9920,-0.9160
44,0.7347,True,0.8163,0.8464,0.5213,-0.9043
45,0.8094,True,0.8367,1.2418,1.8058,-0.9346
46,0.7766,True,0.6531,0.7079,0.4604,-0.8875
47,0.8112,True,0.8980,0.9926,0.9570,-0.9368
48,0.8156,True,0.8776,1.3552,2.3855,-0.9282
49,0.7558,True,0.8776,1.1132,1.4399,-0.9198
50,0.7928,True,0.7551,0.9201,0.7342,-0.9004
51,0.7908,True,0.8163,0.9335,0.7970,-0.9270
52,0.7855,True,0.8776,0.9151,0.6841,-0.9218
53,0.7772,True,0.7959,0.8634,0.6934,-0.9067
54,0.7546,False,NaN,NaN,NaN,NaN
55,0.7835,True,0.8776,1.1489,1.1618,-0.9399
56,0.7817,False,NaN,NaN,NaN,NaN
57,0.8094,True,0.8571,1.1488,1.2127,-0.9290
58,0.7890,True,0.9184,1.2569,1.7554,-0.9337
59,0.7996,True,0.8367,0.8919,0.6906,-0.9394
60,0.8168,True,0.8776,1.0424,1.0925,-0.9429
61,0.7761,True,0.9388,1.1206,1.0993,-0.9252
62,0.8103,True,0.8776,1.0377,1.2490,-0.9206
63,0.8138,True,0.5714,0.6070,0.3526,-0.8799
64,0.7784,True,0.8776,1.0337,1.1146,-0.9162
65,0.7766,True,0.8163,0.9133,0.8222,-0.9176
66,0.7507,True,0.9184,0.9473,0.7336,-0.9390
67,0.8298,True,0.8163,0.9506,0.9251,-0.9468
68,0.8138,True,0.7755,0.9284,0.8243,-0.9194
69,0.7878,True,0.7755,0.9385,0.8691,-0.9126
70,0.8298,True,0.8571,1.1060,1.1752,-0.9452
71,0.7447,True,0.8980,0.9953,1.0464,-0.9113
72,0.8351,True,0.8163,0.8813,0.6597,-0.9454
73,0.7507,True,0.8163,0.9003,0.7169,-0.9084
74,0.7854,True,0.9184,1.3213,1.7857,-0.9207
75,0.7891,True,0.8980,0.9984,0.9337,-0.9423
76,0.7539,True,0.8163,0.9594,0.8524,-0.9046
77,0.7613,True,0.8163,0.8922,0.7983,-0.9165
78,0.7996,True,0.8776,0.9523,0.8016,-0.9332
79,0.7854,True,0.9388,0.9843,0.8273,-0.9398
80,0.7748,True,0.8367,0.8649,0.5936,-0.9284
81,0.7965,True,0.6939,0.8331,0.7944,-0.9166
82,0.8316,True,0.7347,0.9739,0.9792,-0.9245
83,0.8112,True,0.8776,1.3830,1.6110,-0.9320
84,0.7819,True,0.6531,0.7424,0.5635,-0.8858
85,0.8298,True,0.8571,1.3431,2.5196,-0.9447
86,0.8333,True,0.7959,1.0864,1.5137,-0.9296
87,0.7780,True,0.7551,0.8034,0.5301,-0.9045
88,0.8121,True,0.8571,0.9416,0.7396,-0.9225
89,0.7854,True,0.8776,1.0785,1.2555,-0.9335
90,0.8138,True,0.7347,1.0727,1.1463,-0.9139
91,0.7855,True,0.8571,1.0789,1.1662,-0.9254
92,0.7589,True,0.9184,1.0516,1.2589,-0.9072
93,0.7761,True,0.8776,1.0331,0.8968,-0.9201
94,0.7908,True,0.8367,1.0181,1.0695,-0.9203
95,0.7724,True,0.8776,0.9555,0.8149,-0.9303
96,0.8050,True,0.8367,1.2668,1.3012,-0.9300
97,0.8333,True,0.7143,0.9544,0.9516,-0.9294
98,0.8245,True,0.8980,1.0047,0.9585,-0.9462
99,0.8014,True,0.8571,0.8977,0.7479,-0.9424
100,0.7909,True,0.7959,0.8305,0.5673,-0.9271
