trial,tau,detected,c_at_detection,rdiv_at_detection,gamma_at_detection,best_corr_at_detection
1,0.7785,True,-0.1633,-0.0643,0.6972,-0.9355
2,0.7874,True,-0.2653,-0.1804,0.5193,-0.9224
3,0.8560,True,-0.2041,0.1539,1.2105,-0.9612
4,0.7918,True,-0.2653,-0.0607,0.7431,-0.9176
5,0.7816,True,-0.1633,-0.0938,0.6147,-0.9433
6,0.7741,True,-0.1837,0.1264,1.0206,-0.9403
7,0.7674,True,-0.2449,-0.0145,0.8497,-0.9216
8,0.7928,True,-0.2041,-0.0162,0.7148,-0.9349
9,0.8034,True,-0.1429,0.0294,0.9107,-0.9404
10,0.8029,True,-0.1633,0.1190,0.9912,-0.9374
11,0.8272,True,-0.2245,-0.0433,0.7115,-0.9347
12,0.8245,True,-0.2449,-0.1917,0.5215,-0.9476
13,0.8051,True,-0.2041,-0.0035,0.8834,-0.9432
14,0.8228,True,-0.2449,-0.0285,0.8690,-0.9440
15,0.8184,True,-0.2245,-0.0292,0.7756,-0.9331
16,0.8250,True,-0.2041,-0.0135,0.8210,-0.9446
17,0.8436,True,-0.1633,-0.0451,0.7971,-0.9536
18,0.8457,True,-0.2245,-0.0122,0.7636,-0.9289
19,0.8478,True,-0.1633,0.0762,0.8925,-0.9542
20,0.7984,True,-0.2857,-0.1807,0.5319,-0.9058
21,0.7538,True,-0.2245,-0.1322,0.5691,-0.9175
22,0.8309,True,-0.1837,-0.0380,0.7076,-0.9404
23,0.7352,True,-0.2245,-0.1408,0.5547,-0.9159
24,0.7940,True,-0.2041,-0.1521,0.4935,-0.9426
25,0.8450,True,-0.2653,0.1430,1.2673,-0.9421
26,0.8206,True,-0.1837,0.0942,1.0010,-0.9473
27,0.8272,True,-0.2245,0.0498,1.0075,-0.9455
28,0.7984,True,-0.2449,0.0692,0.9264,-0.9258
29,0.7630,True,-0.1633,-0.0239,0.7410,-0.9280
30,0.8516,True,-0.2653,-0.0535,0.7532,-0.9581
31,0.7631,True,-0.2245,0.0652,0.8514,-0.9125
