trial,tau,detected,c_at_detection,rdiv_at_detection,gamma_at_detection,best_corr_at_detection
1,0.8694,False,NaN,NaN,NaN,NaN
2,0.8824,False,NaN,NaN,NaN,NaN
3,0.8367,False,NaN,NaN,NaN,NaN
4,0.8743,False,NaN,NaN,NaN,NaN
5,0.9037,False,NaN,NaN,NaN,NaN
6,0.8661,False,NaN,NaN,NaN,NaN
7,0.8645,False,NaN,NaN,NaN,NaN
8,0.8661,False,NaN,NaN,NaN,NaN
9,0.8367,False,NaN,NaN,NaN,NaN
10,0.8759,False,NaN,NaN,NaN,NaN
11,0.8922,False,NaN,NaN,NaN,NaN
12,0.8776,False,NaN,NaN,NaN,NaN
13,0.8694,False,NaN,NaN,NaN,NaN
14,0.8890,False,NaN,NaN,NaN,NaN
15,0.8906,False,NaN,NaN,NaN,NaN
16,0.8873,False,NaN,NaN,NaN,NaN
17,0.8824,False,NaN,NaN,NaN,NaN
18,0.8988,False,NaN,NaN,NaN,NaN
19,0.8498,False,NaN,NaN,NaN,NaN
20,0.8988,False,NaN,NaN,NaN,NaN
21,0.8465,False,NaN,NaN,NaN,NaN
22,0.8759,False,NaN,NaN,NaN,NaN
23,0.8596,False,NaN,NaN,NaN,NaN
24,0.8286,False,NaN,NaN,NaN,NaN
25,0.8661,False,NaN,NaN,NaN,NaN
26,0.8612,False,NaN,NaN,NaN,NaN
27,0.9053,False,NaN,NaN,NaN,NaN
28,0.8792,False,NaN,NaN,NaN,NaN
29,0.9053,False,NaN,NaN,NaN,NaN
30,0.8743,False,NaN,NaN,NaN,NaN
31,0.8857,False,NaN,NaN,NaN,NaN
32,0.8759,False,NaN,NaN,NaN,NaN
33,0.8318,False,NaN,NaN,NaN,NaN
34,0.8841,False,NaN,NaN,NaN,NaN
35,0.8906,False,NaN,NaN,NaN,NaN
36,0.8776,False,NaN,NaN,NaN,NaN
37,0.8612,False,NaN,NaN,NaN,NaN
38,0.8759,False,NaN,NaN,NaN,NaN
39,0.9069,False,NaN,NaN,NaN,NaN
40,0.8890,False,NaN,NaN,NaN,NaN
41,0.8596,False,NaN,NaN,NaN,NaN
42,0.8890,False,NaN,NaN,NaN,NaN
43,0.8694,False,NaN,NaN,NaN,NaN
44,0.9020,False,NaN,NaN,NaN,NaN
45,0.8629,False,NaN,NaN,NaN,NaN
46,0.8514,False,NaN,NaN,NaN,NaN
47,0.8645,False,NaN,NaN,NaN,NaN
48,0.8678,False,NaN,NaN,NaN,NaN
49,0.9020,False,NaN,NaN,NaN,NaN
50,0.8743,False,NaN,NaN,NaN,NaN
51,0.8824,False,NaN,NaN,NaN,NaN
52,0.8743,False,NaN,NaN,NaN,NaN
53,0.8841,False,NaN,NaN,NaN,NaN
54,0.8253,False,NaN,NaN,NaN,NaN
55,0.8580,False,NaN,NaN,NaN,NaN
56,0.8580,False,NaN,NaN,NaN,NaN
57,0.8531,False,NaN,NaN,NaN,NaN
58,0.8465,False,NaN,NaN,NaN,NaN
59,0.8433,False,NaN,NaN,NaN,NaN
60,0.8955,False,NaN,NaN,NaN,NaN
61,0.8873,False,NaN,NaN,NaN,NaN
62,0.8335,False,NaN,NaN,NaN,NaN
63,0.8743,False,NaN,NaN,NaN,NaN
64,0.9151,False,NaN,NaN,NaN,NaN
65,0.8743,False,NaN,NaN,NaN,NaN
66,0.9135,False,NaN,NaN,NaN,NaN
67,0.8678,False,NaN,NaN,NaN,NaN
68,0.8531,False,NaN,NaN,NaN,NaN
69,0.8727,False,NaN,NaN,NaN,NaN
70,0.8694,False,NaN,NaN,NaN,NaN
71,0.8841,False,NaN,NaN,NaN,NaN
72,0.8678,False,NaN,NaN,NaN,NaN
73,0.8939,False,NaN,NaN,NaN,NaN
74,0.8841,False,NaN,NaN,NaN,NaN
75,0.8792,False,NaN,NaN,NaN,NaN
76,0.8531,False,NaN,NaN,NaN,NaN
77,0.8743,False,NaN,NaN,NaN,NaN
78,0.8792,False,NaN,NaN,NaN,NaN
79,0.8547,False,NaN,NaN,NaN,NaN
80,0.8710,False,NaN,NaN,NaN,NaN
81,0.8743,False,NaN,NaN,NaN,NaN
82,0.8384,False,NaN,NaN,NaN,NaN
83,0.8661,False,NaN,NaN,NaN,NaN
84,0.8939,False,NaN,NaN,NaN,NaN
85,0.8694,False,NaN,NaN,NaN,NaN
86,0.8759,False,NaN,NaN,NaN,NaN
87,0.8906,False,NaN,NaN,NaN,NaN
88,0.8988,False,NaN,NaN,NaN,NaN
89,0.8661,False,NaN,NaN,NaN,NaN
90,0.8629,False,NaN,NaN,NaN,NaN
91,0.8743,False,NaN,NaN,NaN,NaN
92,0.8694,False,NaN,NaN,NaN,NaN
93,0.8629,False,NaN,NaN,NaN,NaN
94,0.8727,False,NaN,NaN,NaN,NaN
95,0.8661,False,NaN,NaN,NaN,NaN
96,0.8498,False,NaN,NaN,NaN,NaN
97,0.8792,False,NaN,NaN,NaN,NaN
98,0.8629,False,NaN,NaN,NaN,NaN
99,0.8776,False,NaN,NaN,NaN,NaN
100,0.9037,False,NaN,NaN,NaN,NaN
