trial,tau,detected,c_at_detection,rdiv_at_detection,gamma_at_detection,best_corr_at_detection
1,0.6114,True,2.4403,2.4486,0.3074,-0.8630
2,0.6441,True,2.4731,2.5058,0.4249,-0.8703
3,0.7078,True,2.5058,2.5246,0.4223,-0.9277
4,0.6849,True,2.4076,2.4236,0.3300,-0.8796
5,0.7110,True,2.5713,2.5773,0.3718,-0.8964
6,0.7437,True,2.4731,2.6347,0.6639,-0.8973
7,0.6245,True,2.5058,2.5344,0.4321,-0.8585
8,0.6033,True,2.3749,2.4070,0.3218,-0.7875
9,0.6098,True,2.4076,2.4736,0.3502,-0.8215
10,0.7045,True,2.4731,2.5204,0.4339,-0.8899
11,0.6735,True,2.5058,2.5659,0.4046,-0.8648
12,0.6359,True,2.4403,2.4707,0.3677,-0.8363
13,0.7012,True,2.4403,2.6653,0.6462,-0.8445
14,0.6784,True,2.4076,2.5582,0.5264,-0.8364
15,0.7143,True,2.3749,2.4748,0.4314,-0.8431
16,0.6637,True,2.4076,2.5473,0.4867,-0.8522
17,0.6506,True,2.4403,2.5161,0.3990,-0.8276
18,0.6882,True,2.4731,2.5986,0.5332,-0.8548
19,0.7208,True,2.4076,2.4847,0.4280,-0.8717
20,0.6359,True,2.5385,2.5674,0.4428,-0.8871
21,0.6327,True,2.4731,2.5124,0.4044,-0.8636
22,0.6669,True,2.6040,2.6044,0.4873,-0.9525
23,0.6800,True,2.4076,2.4500,0.3863,-0.8875
24,0.6718,True,2.6040,2.6062,0.5253,-0.9350
25,0.6457,True,2.6040,2.6044,0.4632,-0.9398
26,0.7339,True,2.5385,2.5750,0.4729,-0.9134
27,0.6229,True,2.4403,2.4793,0.3855,-0.8282
28,0.6996,True,2.4076,2.4454,0.3517,-0.8712
29,0.6506,True,2.5058,2.6514,0.5273,-0.8455
30,0.7290,True,2.5058,2.8449,0.8544,-0.8931
31,0.6865,True,2.4403,2.4953,0.3883,-0.8265
32,0.6620,True,2.5385,2.6008,0.4776,-0.8930
33,0.6131,True,2.3749,2.3918,0.3049,-0.7949
34,0.6718,True,2.4076,2.5587,0.4805,-0.8320
35,0.6816,True,2.5058,2.5281,0.3861,-0.8741
36,0.6327,True,2.5058,2.5267,0.4048,-0.8931
37,0.6931,True,2.5713,2.5796,0.4753,-0.9172
38,0.6555,True,2.4403,2.4832,0.3319,-0.8360
39,0.6473,True,2.3421,2.3883,0.2874,-0.7933
40,0.6392,True,2.4731,2.5127,0.4515,-0.8773
41,0.7322,True,2.5058,2.5283,0.4412,-0.9184
42,0.6196,True,2.5385,2.5533,0.4132,-0.8521
43,0.7518,True,2.5713,2.6952,0.6440,-0.9011
44,0.7078,True,2.4731,2.5697,0.4866,-0.8629
45,0.6588,True,2.5058,2.5342,0.4333,-0.8797
46,0.6620,True,2.4076,2.4685,0.4870,-0.8624
47,0.6180,True,2.4731,2.5135,0.3989,-0.8341
48,0.7143,True,2.5058,2.5262,0.4315,-0.9127
49,0.6261,True,2.3749,2.4191,0.3048,-0.7928
50,0.7061,True,2.5385,2.6303,0.5294,-0.8864
51,0.6816,True,2.5713,2.5783,0.4908,-0.9174
52,0.6931,True,2.5713,2.5786,0.4729,-0.9294
53,0.6931,True,2.4731,2.6897,0.6256,-0.8623
54,0.6735,True,2.4403,2.5516,0.4538,-0.8484
55,0.6735,True,2.5058,2.5280,0.4114,-0.8920
56,0.6996,True,2.4731,2.4877,0.3533,-0.8911
57,0.6898,True,2.3421,2.4679,0.4338,-0.8283
58,0.6865,True,2.6040,2.6085,0.5285,-0.9261
59,0.6653,True,2.5058,2.5709,0.4612,-0.8868
60,0.7698,True,2.5385,2.5793,0.5062,-0.9384
61,0.7143,True,2.5058,2.5248,0.4436,-0.9163
62,0.6702,True,2.4076,2.4734,0.3894,-0.8648
63,0.6620,True,2.5713,2.6001,0.4748,-0.8885
64,0.7061,True,2.4731,2.6160,0.5265,-0.8553
65,0.6963,True,2.4403,2.5625,0.4455,-0.8335
66,0.6506,True,2.4403,2.5041,0.3525,-0.8292
67,0.7273,True,2.6040,2.6041,0.5201,-0.9710
68,0.6980,True,2.4403,2.4578,0.3795,-0.8958
69,0.6310,True,2.5385,2.6367,0.5313,-0.8415
70,0.6800,True,2.5713,2.5895,0.5003,-0.9079
71,0.6718,True,2.6040,2.6071,0.4518,-0.9282
72,0.7273,True,2.5385,2.5873,0.4961,-0.9118
73,0.6931,True,2.5385,2.5617,0.4131,-0.9090
74,0.7127,True,2.4731,2.5329,0.4468,-0.8950
75,0.6588,True,2.4403,2.4857,0.4037,-0.8371
76,0.6865,True,2.5058,2.7335,0.6372,-0.8701
77,0.6686,True,2.5385,2.5539,0.4216,-0.9030
78,0.5804,True,2.5385,2.6538,0.5106,-0.8263
79,0.7176,True,2.4076,2.4534,0.4219,-0.9017
80,0.7404,True,2.5058,2.5194,0.4454,-0.9145
81,0.6327,True,2.6040,2.6046,0.4577,-0.9415
82,0.6963,True,2.4731,2.4980,0.4023,-0.8754
83,0.6849,True,2.5385,2.6842,0.5366,-0.8488
84,0.6898,True,2.5385,2.5445,0.3707,-0.9167
85,0.7094,True,2.6040,2.6075,0.4960,-0.9371
86,0.6114,True,2.3749,2.4261,0.2946,-0.7704
87,0.7012,True,2.5058,2.5821,0.4849,-0.8762
88,0.7127,True,2.5385,2.5626,0.4493,-0.9052
