trial,tau,detected,c_at_detection,rdiv_at_detection,gamma_at_detection,best_corr_at_detection
1,0.7502,True,2.3245,2.3765,0.5632,-0.8660
2,0.7176,True,2.2327,2.2806,0.3647,-0.7780
3,0.7584,True,2.3857,2.4656,0.6426,-0.8650
4,0.7469,True,2.2633,2.3913,0.5051,-0.8569
5,0.7420,True,2.2939,2.4574,0.6357,-0.8559
6,0.7176,True,2.3245,2.3966,0.5473,-0.8023
7,0.7127,True,2.3551,2.4684,0.5893,-0.8296
8,0.8367,True,2.2020,2.2230,0.4140,-0.9205
9,0.7486,True,2.0490,2.1021,0.4099,-0.8237
10,0.7208,True,2.3551,2.5906,0.8312,-0.8776
11,0.7306,True,2.3857,2.4601,0.6258,-0.8570
12,0.8041,True,2.1408,2.2068,0.4100,-0.8779
13,0.7322,True,2.2020,2.2478,0.3693,-0.7713
14,0.7518,True,2.2633,2.3595,0.6164,-0.8772
15,0.7845,True,2.2939,2.4365,0.7860,-0.8927
16,0.6849,True,2.4469,2.4852,0.6062,-0.8616
17,0.7453,True,2.3551,2.4358,0.6161,-0.8773
18,0.7453,True,2.2633,2.3835,0.5944,-0.8133
19,0.6490,True,2.2327,2.2583,0.3007,-0.7143
20,0.6800,True,2.3245,2.3529,0.4448,-0.8334
21,0.7127,True,2.2633,2.3247,0.5054,-0.7752
22,0.7273,True,2.2020,2.2355,0.4133,-0.8138
23,0.7273,True,2.3245,2.3556,0.4706,-0.8760
24,0.7698,True,2.2327,2.3329,0.5686,-0.8070
25,0.7404,True,2.2327,2.3008,0.4641,-0.8014
26,0.7453,True,2.2633,2.3218,0.4994,-0.8156
27,0.7355,True,2.4163,2.5282,0.7193,-0.8678
28,0.7796,True,2.2020,2.2966,0.4836,-0.8556
29,0.7780,True,2.2327,2.2934,0.4703,-0.8572
30,0.7290,True,2.2633,2.2918,0.4006,-0.8265
31,0.7894,True,2.3245,2.4253,0.6375,-0.8909
32,0.7959,True,2.3245,2.4496,0.6604,-0.8645
33,0.7976,True,2.1408,2.2968,0.6254,-0.8977
34,0.7894,True,2.2633,2.2993,0.4712,-0.8824
35,0.6767,True,2.3857,2.4393,0.5644,-0.8562
36,0.7420,True,2.2633,2.3616,0.5474,-0.8360
37,0.7584,True,2.2633,2.3152,0.5043,-0.8589
38,0.7518,True,2.1714,2.2483,0.5179,-0.8251
39,0.7224,True,2.3551,2.3764,0.4459,-0.8505
40,0.6963,True,2.2633,2.3548,0.5067,-0.7534
41,0.7110,True,2.2633,2.3292,0.4359,-0.7670
42,0.7290,True,2.2327,2.2851,0.3972,-0.8074
43,0.6996,True,2.3245,2.4081,0.5857,-0.8398
44,0.7241,True,2.2327,2.2940,0.4786,-0.7778
45,0.6800,True,2.2633,2.3069,0.3705,-0.7947
46,0.7094,True,2.2633,2.3037,0.4414,-0.8126
47,0.6571,True,2.3245,2.3628,0.4617,-0.7717
48,0.7763,True,2.2633,2.3743,0.6129,-0.8646
49,0.7469,True,2.4163,2.5718,0.7536,-0.8775
50,0.7780,True,2.2327,2.3548,0.5365,-0.8672
51,0.7371,True,2.3245,2.3897,0.4966,-0.8510
52,0.7682,True,2.2020,2.2309,0.3617,-0.8229
53,0.7029,True,2.2939,2.3569,0.5279,-0.7856
54,0.7486,True,2.2327,2.2606,0.4511,-0.8566
55,0.8482,True,2.1714,2.8813,1.5397,-0.8992
56,0.7616,True,2.3857,2.4953,0.7064,-0.8827
57,0.6931,True,2.3245,2.3962,0.4843,-0.7926
58,0.7404,True,2.2939,2.3357,0.4994,-0.8127
59,0.7731,True,2.4163,2.4887,0.6786,-0.8388
60,0.7535,True,2.2327,2.3722,0.5954,-0.8267
61,0.7176,True,2.2020,2.2588,0.4505,-0.8033
62,0.7878,True,2.2633,2.3740,0.6250,-0.8893
63,0.7012,True,2.2327,2.2820,0.3896,-0.7909
64,0.7437,True,2.5694,2.5870,0.8343,-0.9119
65,0.7371,True,2.1408,2.2182,0.4055,-0.7834
66,0.8041,True,2.2633,2.5925,1.0278,-0.8961
67,0.6441,True,2.3245,2.3795,0.4288,-0.7664
68,0.8122,True,2.3245,2.6593,0.9309,-0.8665
69,0.7845,True,2.2633,2.4986,0.8695,-0.8636
70,0.6849,True,2.3245,2.3620,0.4508,-0.8400
71,0.7878,True,2.2633,2.4209,0.7063,-0.8476
72,0.7551,True,2.2633,2.3399,0.4923,-0.8786
73,0.7551,True,2.3245,2.4530,0.7048,-0.8517
74,0.6865,True,2.3551,2.3798,0.4828,-0.8473
75,0.7780,True,2.3245,2.3803,0.6317,-0.9033
76,0.6849,True,2.3857,2.3998,0.5050,-0.8618
77,0.6588,True,2.2939,2.3093,0.3982,-0.8303
78,0.7812,True,2.3245,2.3854,0.5592,-0.8940
79,0.7388,True,2.4163,2.4886,0.6312,-0.8715
80,0.7486,True,2.2939,2.3666,0.5103,-0.8502
81,0.6718,True,2.3245,2.3512,0.4492,-0.7981
82,0.7649,True,2.2020,2.2565,0.5039,-0.8546
83,0.7355,True,2.3551,2.4109,0.5260,-0.8198
84,0.7241,True,2.2020,2.2149,0.3182,-0.8477
85,0.7518,True,2.1714,2.1978,0.3393,-0.8187
86,0.7633,True,2.3857,2.5351,0.8582,-0.8905
87,0.7731,True,2.2633,2.4237,0.6271,-0.8382
88,0.7290,True,2.2327,2.2639,0.4124,-0.8121
89,0.7257,True,2.0796,2.1104,0.3047,-0.7692
90,0.6914,True,2.3857,2.4393,0.5519,-0.8288
91,0.8139,True,2.2939,2.5397,0.9262,-0.8999
