u_values,var_values
0.0,0.0001196472
0.06284,0.000156604
0.12567,0.0001429016
0.18851,0.0001365492
0.25135,0.0001786509
0.31418,0.0002074269
0.37702,0.0001587898
0.43986,0.0001554801
0.50269,0.000187464
0.56553,0.0001785831
0.62837,0.0001381947
0.6912,0.0001876706
0.75404,0.0001775412
0.81688,0.0001898249
0.87971,0.0002082517
0.94255,0.0002073186
1.00539,0.0001977504
1.06822,0.0002091627
1.13106,0.0001879711
1.1939,0.0002146148
1.25673,0.0002201849
1.31957,0.0001836804
1.38241,0.0002535722
1.44524,0.0002031672
1.50808,0.0002511208
1.57092,0.0002589392
1.63376,0.0002167012
1.69659,0.000231408
1.75943,0.0001664364
1.82227,0.00023367
1.8851,0.0002684606
1.94794,0.0002565484
2.01078,0.0002563791
2.07361,0.0002806367
2.13645,0.0002509208
2.19929,0.0003035631
2.26212,0.0003447161
2.32496,0.0003258293
2.3878,0.0003676991
2.45063,0.0003349618
2.51347,0.0003398803
2.57631,0.0004671928
2.63914,0.0004298243
2.70198,0.0004266125
2.76482,0.0005294766
2.82765,0.0006856617
2.89049,0.0007129396
2.95333,0.0010943118
3.01616,0.001511737
